"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5902.1,-1.694e-12,-6.8644e-12,0.26652,1573,-4.5149e-13,-1.8295e-12,4.6836e+06,16579,216.7,20,6.4591e-16,1.3399e-17,-8.7535e-15,-3.283e-17,-4.6498e-19,-6.2496e-11,1,0,-0.017448,0.064651,0
5902.1,-1.3342e-12,-7.3136e-12,0.26652,1573,-3.5559e-13,-1.9492e-12,4.6836e+06,16579,216.7,20,6.9069e-16,-1.2082e-18,-1.4693e-14,7.923e-19,6.75e-19,-1.0494e-10,1,0.0015141,-0.015958,0.064917,0
5902.1,-6.7054e-13,-7.3388e-12,0.26652,1573,-1.7871e-13,-1.9559e-12,4.6836e+06,16579,216.7,20,6.403e-16,-5.651e-18,6.3517e-15,1.9878e-17,2.4876e-18,-1.1258e-10,1,0.0030282,-0.014467,0.065183,0
5902.1,-4.3824e-13,-7.5976e-12,0.26652,1573,-1.168e-13,-2.0249e-12,4.6836e+06,16579,216.7,20,5.6987e-16,1.4871e-17,8.1731e-14,-5.1337e-18,-1.0201e-18,1.4395e-10,1,0.0045423,-0.012977,0.065449,0
5902.1,4.254e-13,-7.625e-12,0.26652,1573,1.1338e-13,-2.0322e-12,4.6836e+06,16579,216.7,20,7.7916e-16,2.1693e-17,4.0537e-14,2.8057e-18,-6.0695e-18,2.3283e-10,1,0.0060564,-0.011486,0.065715,0
5902.1,1.1997e-12,-7.2993e-12,0.26652,1573,3.1973e-13,-1.9454e-12,4.6836e+06,16579,216.7,20,8.521e-16,1.0701e-17,2.0623e-15,-9.0415e-18,-4.3523e-18,1.8489e-10,1,0.0075705,-0.0099957,0.065981,0
5902.1,1.355e-12,-6.8678e-12,0.26652,1573,3.6114e-13,-1.8304e-12,4.6836e+06,16579,216.7,20,8.2147e-16,3.4329e-20,1.0261e-14,-2.5362e-18,-5.7824e-18,-8.4149e-11,1,0.0090846,-0.0085051,0.066247,0
5902.1,2.0919e-12,-6.6617e-12,0.26652,1573,5.5754e-13,-1.7755e-12,4.6836e+06,16579,216.7,20,8.1257e-16,-3.7604e-18,1.1734e-14,2.2899e-17,9.7261e-18,-6.9796e-11,1,0.010599,-0.0070146,0.066513,0
5902.1,2.8397e-12,-6.671e-12,0.26652,1573,7.5685e-13,-1.7779e-12,4.6836e+06,16579,216.7,20,6.3583e-16,-1.7332e-18,-5.9955e-15,-3.4211e-17,5.6176e-17,-2.8061e-11,1,0.012113,-0.005524,0.066779,0
5902.1,1.8816e-12,-6.5117e-12,0.26652,1573,5.0148e-13,-1.7355e-12,4.6836e+06,16579,216.7,20,9.8792e-16,-1.4696e-18,-2.1279e-14,3.993e-16,-2.9011e-16,-2.8546e-10,1,0.013627,-0.0040335,0.067045,0
5902.1,3.4487e-12,-6.4145e-12,0.26652,1573,9.1914e-13,-1.7096e-12,4.6836e+06,16579,216.7,20,5.3306e-16,-6.4344e-18,-6.1994e-14,-4.2869e-17,5.6254e-17,-2.5669e-10,1,0.015141,-0.0025429,0.067311,0
5902.1,6.5518e-12,-6.3796e-12,0.26652,1573,1.7462e-12,-1.7003e-12,4.6836e+06,16579,216.7,20,-1.8308e-15,4.1044e-18,4.9889e-15,-4.3262e-15,1.1982e-15,-5.0216e-11,1,0.016655,-0.0010524,0.067577,0
5902.1,2.053e-11,-6.1287e-12,0.26652,1573,5.4717e-12,-1.6334e-12,4.6836e+06,16579,216.7,20,6.8843e-15,1.6251e-17,4.8755e-14,-2.8149e-15,5.2471e-15,2.0398e-10,1,0.018169,0.0004382,0.067843,0
5902.1,7.4233e-11,-5.6559e-12,0.26652,1573,1.9785e-11,-1.5074e-12,4.6836e+06,16579,216.7,20,2.3167e-14,2.7242e-17,5.8571e-14,7.5105e-15,8.1879e-15,3.7337e-10,1,0.019683,0.0019288,0.068109,0
5902.1,-3.1531e-10,-6.8131e-12,0.26652,1573,-8.4036e-11,-1.8158e-12,4.6836e+06,16579,216.7,20,-5.5311e-14,-1.316e-17,-1.4673e-13,-4.6278e-15,-3.846e-14,-1.4049e-10,1,0.021197,0.0034193,0.068375,0
5902.1,8.8152e-11,-6.7244e-12,0.26652,1573,2.3494e-11,-1.7922e-12,4.6836e+06,16579,216.7,20,-7.1689e-16,4.4535e-18,5.6444e-15,-1.3049e-14,1.2654e-14,2.9651e-10,1,0.022711,0.0049099,0.068641,0
5902.1,2.8976e-09,2.0573e-12,0.26652,1573,7.7228e-10,5.4832e-13,4.6836e+06,16579,216.7,20,3.342e-13,2.4896e-16,1.4082e-12,4.2606e-14,1.8894e-13,4.5325e-09,1,0.024226,0.0064004,0.068907,0
5902.1,-3.2429e-09,-1.5072e-11,0.26652,1573,-8.643e-10,-4.017e-12,4.6836e+06,16579,216.7,20,-3.0261e-13,-5.0773e-16,-2.7937e-12,-9.4612e-14,-2.0165e-13,-8.3214e-09,1,0.02574,0.007891,0.069173,0
5902.1,-1.5194e-08,-7.6177e-11,0.26652,1573,-4.0494e-09,-2.0303e-11,4.6836e+06,16579,216.7,20,-1.3768e-12,-2.8048e-15,-1.5723e-11,-4.8673e-13,-6.365e-13,-4.7885e-08,1,0.027254,0.0093815,0.069439,0
