"Velocity Mag:0","Velocity Mag:1","Velocity Mag:2","Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Energy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7633,-9.6737e-12,1.1579e-12,0.001966,15.006,-1.9018e-14,2.2764e-15,57644,149.1,264.2,23.425,-5.0583e-16,5.4253e-20,9.0342e-16,-3.6329e-19,4.1995e-20,1.3928e-12,1,0,-0.017448,0.064651,0
7633,-1.0697e-11,1.2029e-12,0.001966,15.006,-2.1031e-14,2.3648e-15,57644,149.1,264.2,23.425,-4.5589e-16,4.7639e-20,6.1412e-16,-2.4713e-19,5.1628e-19,1.5485e-12,1,0.0015141,-0.015958,0.064917,0
7633,-1.05e-11,1.1606e-12,0.001966,15.006,-2.0643e-14,2.2817e-15,57644,149.1,264.2,23.425,-3.4624e-16,4.0007e-20,-1.9405e-16,3.9661e-19,3.2784e-19,-1.2379e-13,1,0.0030282,-0.014467,0.065183,0
7633,-1.1384e-11,9.399e-13,0.001966,15.006,-2.238e-14,1.8478e-15,57644,149.1,264.2,23.425,-2.4915e-16,7.4157e-20,8.2437e-17,2.0447e-18,-3.3677e-19,1.1613e-12,1,0.0045423,-0.012977,0.065449,0
7633,-1.2493e-11,9.7143e-13,0.001966,15.006,-2.456e-14,1.9098e-15,57644,149.1,264.2,23.425,-2.07e-16,-1.78e-20,2.6666e-16,-5.2883e-18,-4.9559e-19,7.6149e-13,1,0.0060564,-0.011486,0.065715,0
7633,-1.2686e-11,1.2539e-12,0.001966,15.006,-2.4939e-14,2.465e-15,57644,149.1,264.2,23.425,-2.4795e-16,-1.0384e-19,-4.8366e-16,-2.1461e-18,-3.9091e-19,-2.247e-12,1,0.0075705,-0.0099957,0.065981,0
7633,-1.3999e-11,1.5785e-12,0.001966,15.006,-2.7521e-14,3.1033e-15,57644,149.1,264.2,23.425,-2.5991e-16,1.1562e-20,-9.7119e-16,2.6437e-17,-2.9478e-18,-2.6775e-12,1,0.0090846,-0.0085051,0.066247,0
7633,-1.3962e-11,1.6713e-12,0.001966,15.006,-2.7449e-14,3.2857e-15,57644,149.1,264.2,23.425,1.0888e-16,1.0975e-19,-4.1715e-16,-3.0776e-18,3.5225e-18,-3.0159e-13,1,0.010599,-0.0070146,0.066513,0
7633,-1.3415e-11,1.5586e-12,0.001966,15.006,-2.6373e-14,3.0641e-15,57644,149.1,264.2,23.425,6.0051e-16,7.8632e-20,-2.3067e-16,-1.334e-16,-4.3227e-19,1.0817e-12,1,0.012113,-0.005524,0.066779,0
7633,-1.8677e-11,1.8155e-12,0.001966,15.006,-3.6718e-14,3.5692e-15,57644,149.1,264.2,23.425,-1.8791e-16,7.8972e-20,1.9955e-16,-1.4296e-16,-7.349e-17,1.9008e-12,1,0.013627,-0.0040335,0.067045,0
7633,-1.117e-11,1.4489e-12,0.001966,15.006,-2.196e-14,2.8485e-15,57644,149.1,264.2,23.425,3.8619e-16,2.2789e-19,1.2448e-15,2.4688e-16,-3.7405e-17,4.5265e-12,1,0.015141,-0.0025429,0.067311,0
7633,3.8833e-11,1.101e-12,0.001966,15.006,7.6344e-14,2.1646e-15,57644,149.1,264.2,23.425,4.2543e-15,-3.3283e-19,-3.6886e-15,1.0922e-15,4.9534e-17,-1.6142e-11,1,0.016655,-0.0010524,0.067577,0
7633,-1.2899e-10,1.5513e-12,0.001966,15.006,-2.5358e-13,3.0497e-15,57644,149.1,264.2,23.425,-3.3816e-15,2.868e-18,2.1194e-14,3.7534e-17,1.8959e-16,8.279e-11,1,0.018169,0.0004382,0.067843,0
7633,-4.7211e-10,3.0211e-12,0.001966,15.006,-9.2816e-13,5.9393e-15,57644,149.1,264.2,23.425,-8.5968e-15,1.0677e-17,8.1485e-14,-1.0894e-15,4.2796e-16,3.1632e-10,1,0.019683,0.0019288,0.068109,0
7633,1.1693e-09,-1.7603e-12,0.001966,15.006,2.2988e-12,-3.4607e-15,57644,149.1,264.2,23.425,-1.977e-14,-3.1532e-17,-2.3887e-13,-5.5234e-16,-1.5983e-17,-9.1816e-10,1,0.021197,0.0034193,0.068375,0
7633,1.9955e-10,2.9056e-12,0.001966,15.006,3.9231e-13,5.7124e-15,57644,149.1,264.2,23.425,4.0981e-14,-3.4535e-18,-2.4263e-14,8.7717e-16,-3.7114e-16,-8.9176e-11,1,0.022711,0.0049099,0.068641,0
7633,-5.919e-09,4.4066e-11,0.001966,15.006,-1.1637e-11,8.6631e-14,57644,149.1,264.2,23.425,6.1226e-13,1.3746e-16,1.0494e-12,1.5262e-14,-2.0723e-15,4.0666e-09,1,0.024226,0.0064004,0.068907,0
7633,2.2298e-10,-5.5101e-11,0.001966,15.006,4.3836e-13,-1.0833e-13,57644,149.1,264.2,23.425,-1.2632e-12,1.0333e-17,6.1414e-14,-2.0115e-14,3.8025e-15,1.7418e-10,1,0.02574,0.007891,0.069173,0
7633,-2.6106e-09,-1.5434e-10,0.001966,15.006,-5.1324e-12,-3.0343e-13,57644,149.1,264.2,23.425,-5.7988e-12,2.5493e-16,1.8443e-12,-9.0298e-14,3.6651e-14,6.9507e-09,1,0.027254,0.0093815,0.069439,0
7633,7.3701e-08,4.2801e-12,0.001966,15.006,1.4489e-10,8.4144e-15,57644,149.1,264.2,23.425,1.1024e-11,-2.0779e-15,-1.5536e-11,-8.4404e-15,-3.0742e-14,-5.958e-08,1,0.028768,0.010872,0.069705,0
7633,2.5949e-07,-5.388e-10,0.001966,15.006,5.1014e-10,-1.0593e-12,57644,149.1,264.2,23.425,2.9429e-11,-5.2645e-15,-3.9569e-11,-2.3894e-13,-1.4296e-13,-1.5335e-07,1,0.030282,0.012363,0.069971,0
7633,-7.491e-07,1.1879e-09,0.001966,15.006,-1.4727e-09,2.3353e-12,57644,149.1,264.2,23.425,-3.5075e-11,-1.839e-16,-2.1104e-12,2.25e-12,-3.6162e-13,-5.6294e-09,1,0.031796,0.013853,0.070237,0
7633,-1.166e-06,-1.0353e-09,0.001966,15.006,-2.2923e-09,-2.0353e-12,57644,149.1,264.2,23.425,-4.4292e-11,-1.8639e-14,-1.4078e-10,3.3748e-12,-3.9386e-13,-5.3321e-07,1,0.03331,0.015344,0.070503,0
7633,3.6667e-06,5.4945e-08,0.001966,15.006,7.2087e-09,1.0802e-10,57644,149.1,264.2,23.425,-1.9623e-10,5.0375e-13,3.8268e-09,-8.2783e-12,5.4591e-12,1.4726e-05,1,0.034824,0.016834,0.070769,0
7633,4.8507e-06,7.0506e-08,0.001966,15.006,9.5363e-09,1.3861e-10,57644,149.1,264.2,23.425,-1.0721e-10,5.0542e-13,3.842e-09,-1.6237e-11,3.9311e-12,1.4782e-05,1,0.036338,0.018325,0.071035,0
7633,-1.01e-07,-7.7958e-07,0.001966,15.006,-1.9858e-10,-1.5326e-09,57644,149.1,264.2,23.425,4.6143e-09,-6.0136e-12,-4.5712e-08,-1.5193e-10,-2.5486e-11,-0.00017602,1,0.037852,0.019815,0.071301,0
7633,-5.0872e-06,-1.1721e-06,0.001966,15.006,-1.0001e-08,-2.3043e-09,57644,149.1,264.2,23.425,6.4318e-09,-7.9836e-12,-6.0861e-08,-8.8451e-11,-8.5447e-12,-0.00023422,1,0.039367,0.021306,0.071567,0
7633,-0.00025987,3.7596e-06,0.0019659,15.006,-5.1088e-07,7.3911e-09,57643,149.1,264.2,23.425,-4.4765e-08,2.4762e-11,1.8808e-07,1.4415e-09,4.7801e-11,0.000725,1,0.040881,0.022797,0.071833,0
7633,-0.00074711,7.4004e-06,0.0019659,15.006,-1.4688e-06,1.4549e-08,57643,149.09,264.19,23.425,-1.1161e-07,3.7073e-11,2.8299e-07,1.289e-09,-7.0407e-11,0.0010898,1,0.042395,0.024287,0.072099,0
7633,0.001284,-4.6703e-06,0.001966,15.007,2.5246e-06,-9.1833e-09,57645,149.11,264.21,23.425,1.495e-07,7.5146e-12,5.687e-08,-6.6085e-10,2.8215e-10,0.00021726,1,0.043909,0.025778,0.072365,0
